,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-03-31,627846588.0,627846588.0,4280900000.0,9800200000.0,66217700000.0,76197200000.0,37593000000.0,66217700000.0,66397000000.0,67093800000.0,68118800000.0,1721800000.0,66397000000.0,65141300000.0,16032200000.0,27428300000.0,1255700000.0,1255700000.0,112855000000.0,1698800000.0,,,226600000.0,24200000.0,696800000.0,696800000.0,751200000.0,111156200000.0,1862800000.0,108400000.0,9103400000.0,9103400000.0,1264900000.0,68805000000.0,1026900000.0,7000000.0,672200000.0,67098900000.0,180973800000.0,32224600000.0,6755800000.0,3035900000.0,631400000.0,15200000.0,,2188200000.0,15200000.0,1318500000.0,1318500000.0,2939000000.0,179300000.0,173000000.0,6300000.0,12969800000.0,-14902900000.0,27872700000.0,12618500000.0,12534700000.0,13330800000.0,1173500000.0,749900000.0,0.0,148749200000.0,902100000.0,,5430200000.0,19290100000.0,17637600000.0,890100000.0,2225900000.0,14521600000.0,47937200000.0,5663700000.0,45607700000.0,-367800000.0,45975500000.0,6280600000.0,761300000.0,5519300000.0,953700000.0,4565600000.0
2023-03-31,627846588.0,627846588.0,6914300000.0,9738200000.0,61585500000.0,71406500000.0,33548900000.0,61585500000.0,61668300000.0,62559200000.0,64854600000.0,3186300000.0,61668300000.0,60412600000.0,14831200000.0,27422200000.0,1255700000.0,1255700000.0,100646600000.0,1738300000.0,,,229000000.0,0.0,890900000.0,890900000.0,618400000.0,98908300000.0,1990700000.0,72500000.0,8847300000.0,8847300000.0,941700000.0,54700200000.0,1034000000.0,6200000.0,599800000.0,53060200000.0,165501200000.0,33044000000.0,5816600000.0,3025600000.0,613500000.0,2112500000.0,,4116600000.0,2112500000.0,1265600000.0,1265600000.0,2636400000.0,82800000.0,76500000.0,6300000.0,12551700000.0,-13627800000.0,26179500000.0,11979700000.0,12378600000.0,12401400000.0,1048500000.0,749900000.0,0.0,132457200000.0,1015000000.0,,3940800000.0,15066900000.0,13740300000.0,887900000.0,1990500000.0,10861900000.0,39255100000.0,5658900000.0,50486000000.0,-317800000.0,50803800000.0,3294200000.0,470300000.0,2823900000.0,1800000.0,2822100000.0
2022-03-31,609846588.0,609846588.0,10358900000.0,13024300000.0,56013900000.0,69051700000.0,30944500000.0,56013900000.0,56027400000.0,57229200000.0,58961500000.0,2934100000.0,56027400000.0,265500000.0,13833900000.0,26396200000.0,1219700000.0,1219700000.0,85618400000.0,2037000000.0,,578800000.0,256400000.0,,1201800000.0,1201800000.0,578800000.0,83581400000.0,2333700000.0,21700000.0,11822500000.0,11822500000.0,792100000.0,45225500000.0,874100000.0,5200000.0,368200000.0,43978000000.0,144579900000.0,30054000000.0,4689400000.0,2929300000.0,642600000.0,2112500000.0,,4968300000.0,2112500000.0,1158500000.0,1158500000.0,3030900000.0,13500000.0,7200000.0,6300000.0,11477000000.0,-12340100000.0,23817100000.0,10930600000.0,11381100000.0,11166100000.0,970500000.0,749900000.0,0.0,114525900000.0,399700000.0,,3189800000.0,15691800000.0,11533400000.0,888100000.0,2684000000.0,7961300000.0,28599300000.0,6856700000.0,45252500000.0,-377800000.0,45630300000.0,3002700000.0,337300000.0,2665400000.0,231300000.0,2434100000.0
2021-03-31,609846588.0,609846588.0,18704000000.0,20620400000.0,51699600000.0,72333400000.0,29449400000.0,51699600000.0,51713000000.0,53409100000.0,54694100000.0,2981100000.0,51713000000.0,265400000.0,12004400000.0,26396200000.0,1219700000.0,1219700000.0,80704700000.0,2462800000.0,,501000000.0,265700000.0,,1696100000.0,1696100000.0,501000000.0,78241900000.0,2540500000.0,23500000.0,18924300000.0,18924300000.0,1232300000.0,39391900000.0,742000000.0,5400000.0,359300000.0,38285200000.0,135398800000.0,27707500000.0,4605400000.0,2912200000.0,576100000.0,2134300000.0,,10800000.0,2134300000.0,1220000000.0,1220000000.0,2864400000.0,13400000.0,7100000.0,6300000.0,11533400000.0,-11980500000.0,23513900000.0,10628800000.0,11240800000.0,11352800000.0,854900000.0,677400000.0,0.0,107691300000.0,58592200000.0,,2623700000.0,11566200000.0,12222100000.0,3063900000.0,3738900000.0,5419300000.0,23684400000.0,6057900000.0,48072900000.0,-297100000.0,48370000000.0,3464100000.0,1547700000.0,1916400000.0,1800000.0,1914600000.0
2020-03-31,,,,,,,,,,,,,,,,,,,,,909000000.0,1120800000.0,,,,,,,,,,,,,,,,,,,,,,,1177300000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
